"sep=	"
Shimmer_85E7_TimestampSync_Unix_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
ms	mV	
1.6378346177863186E12	8.472031570120443	
1.6378346178058496E12	8.452005797863698	
1.6378346178253809E12	8.466382042533006	
1.637834617844912E12	8.471887326862891	
1.637834617864443E12	8.463425055753198	
1.6378346178839744E12	8.466454164161782	
1.6378346179035054E12	8.469363069855739	
1.6378346179230366E12	8.469795799628393	
1.6378346179425676E12	8.463280812495647	
1.6378346179620989E12	8.464194353126807	
1.6378346179816301E12	8.472560462064799	
1.6378346180011611E12	8.47631078676114	
1.6378346180206924E12	8.476479070561616	
1.6378346180402234E12	8.478474435624413	
1.6378346180597546E12	8.474627948756371	
1.637834618079286E12	8.470108326686422	
1.637834618098817E12	8.461357569061626	
1.6378346181183481E12	8.467584069679269	
1.6378346181378792E12	8.454866622471805	
1.6378346181574104E12	8.462775961094216	
1.6378346181769417E12	8.461237366347	
1.6378346181964727E12	8.453448230439214	
1.637834618216004E12	8.451837514063222	
1.637834618235535E12	8.439264310113309	
1.6378346182550662E12	8.455467636044936	
1.6378346182745972E12	8.440850985946376	
1.6378346182941284E12	8.442413621236518	
1.6378346183136597E12	8.430128903801709	
1.6378346183331907E12	8.434215796099004	
1.637834618352722E12	8.430513552488513	
1.637834618372253E12	8.424647660014749	
1.6378346183917842E12	8.429527890228577	
1.6378346184113154E12	8.417940348538599	
1.6378346184308464E12	8.414863159044165	
1.6378346184503777E12	8.410343536974215	
1.6378346184699087E12	8.397626089766751	
1.63783461848944E12	8.40346794169759	
1.6378346185089712E12	8.400462873831932	
1.6378346185285022E12	8.380845790804917	
1.6378346185480334E12	8.382312263923358	
1.6378346185675645E12	8.376590614707146	
1.6378346185870957E12	8.370556438432905	
1.6378346186066267E12	8.372263316980598	
1.637834618626158E12	8.35596382887727	
1.6378346186456892E12	8.365844492019553	
1.6378346186652202E12	8.363897208042607	
1.6378346186847515E12	8.357550504710337	
1.6378346187042825E12	8.353655936756445	
1.6378346187238137E12	8.352021179837527	
1.637834618743345E12	8.353247247526715	
1.637834618762876E12	8.341443340950411	
1.6378346187824072E12	8.337933421683323	
1.6378346188019382E12	8.336250583678554	
1.6378346188214695E12	8.323292731041837	
1.6378346188410007E12	8.322908082355033	
1.6378346188605317E12	8.341443340950411	
1.637834618880063E12	8.318821190057738	
1.637834618899594E12	8.324735163617353	
1.6378346189191252E12	8.331105907492548	
1.6378346189386562E12	8.321946460638022	
1.6378346189581875E12	8.318364419742158	
1.6378346189777188E12	8.318436541370934	
1.6378346189972498E12	8.318532703542635	
1.637834619016781E12	8.315215108618949	
1.637834619036312E12	8.312738932697647	
1.6378346190558433E12	8.317763406169027	
1.6378346190753745E12	8.306055661764423	
1.6378346190949055E12	8.308748202572053	
1.6378346191144368E12	8.315503595134052	
1.6378346191339678E12	8.306752837509256	
1.637834619153499E12	8.307834661940893	
1.6378346191730303E12	8.315167027533098	
1.6378346191925613E12	8.309349216145185	
1.6378346192120925E12	8.309036689087156	
1.6378346192316235E12	8.305863337421021	
1.6378346192511548E12	8.308315472799398	
1.6378346192706858E12	8.311080135235803	
1.637834619290217E12	8.302954431727064	
1.6378346193097483E12	8.305743134706395	
1.6378346193292793E12	8.298290566399562	
1.6378346193488105E12	8.304493026474281	
1.6378346193683416E12	8.305598891448843	
1.6378346193878728E12	8.311320540665056	
1.637834619407404E12	8.300261890919435	
1.637834619426935E12	8.309637702660288	
1.6378346194464663E12	8.308339513342323	
1.6378346194659973E12	8.277014685910704	
1.6378346194855286E12	8.303218877699242	
1.6378346195050598E12	8.311128216321654	
1.6378346195245908E12	8.300670580149164	
1.637834619544122E12	8.306945161852658	
1.637834619563653E12	8.303771810186523	
1.6378346195831843E12	8.307209607824836	
1.6378346196027153E12	8.310118513518793	
1.6378346196222466E12	8.293049728041854	
1.6378346196417778E12	8.309637702660288	
1.6378346196613088E12	8.311368621750907	
1.63783461968084E12	8.347645801025129	
1.637834619700371E12	8.287279997739791	
1.6378346197199023E12	8.295069133647576	
1.6378346197394336E12	8.372239276437673	
1.6378346197589646E12	8.27124495560864	
1.6378346197784958E12	8.328942258629274	
1.6378346197980269E12	8.33088954260622	
1.637834619817558E12	8.245858142279562	
1.6378346198370894E12	8.32271575801163	
1.6378346198566204E12	8.326393961079196	
1.6378346198761516E12	8.3747394929019	
1.6378346198956826E12	8.246771682910722	
1.6378346199152139E12	8.359906477917013	
1.6378346199347449E12	8.262854806127724	
1.6378346199542761E12	8.324687082531502	
1.6378346199738074E12	8.309493459402736	
1.6378346199933384E12	8.350747031062488	
1.6378346200128696E12	8.360411329318444	
1.6378346200324006E12	8.257830332656344	
1.637834620051932E12	8.39159191349251	
