"sep=	"
Shimmer_85E7_Timestamp_Shimmer_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
Ticks	mV	
494215.27099609375	-1.6004510641635734	
494234.80224609375	-1.5865796708956963	
494254.33349609375	-1.5832380354290845	
494273.86474609375	-1.5595821411906252	
494293.39599609375	-1.5747757643193918	
494312.92724609375	-1.566049047237521	
494332.45849609375	-1.498086432387801	
494351.98974609375	-1.6459117308352469	
494371.52099609375	-1.6633892055419135	
494391.05224609375	-1.412622302288489	
494410.58349609375	-1.5782376025006297	
494430.11474609375	-1.5940081986596026	
494449.64599609375	-1.6057880646929819	
494469.17724609375	-1.6630526379409598	
494488.70849609375	-1.6618506107946966	
494508.23974609375	-1.3870672051589337	
494527.77099609375	-1.7295728202151641	
494547.30224609375	-1.7883038665815831	
494566.83349609375	-1.6154042818630874	
494586.36474609375	-1.5710013990801255	
494605.89599609375	-1.9078334460059936	
494625.42724609375	-1.8324182628494416	
494644.95849609375	-1.7551519578876447	
494664.48974609375	-1.859439833097438	
494684.02099609375	-1.7355348748606294	
494703.55224609375	-1.9873355214598403	
494723.08349609375	-1.8205422346443616	
494742.61474609375	-1.7303421175887725	
494762.14599609375	-1.6012684426230324	
494781.67724609375	-1.6798329369027938	
494801.20849609375	-1.5540047352319641	
494820.73974609375	-1.5389313148178239	
494840.27099609375	-1.4734448758894056	
494859.80224609375	-1.4114443156851508	
494879.33349609375	-1.3689887168791355	
494898.86474609375	-1.3374234840182644	
494918.39599609375	-1.4462069407550822	
494937.92724609375	-1.4228876141175764	
494957.45849609375	-1.2926599930914235	
494976.98974609375	-1.2940062634952383	
494996.52099609375	-1.1839726985263068	
495016.05224609375	-1.2999923586836288	
495035.58349609375	-1.2108740660596768	
495055.11474609375	-1.161566912519961	
495074.64599609375	-1.1611341827473063	
495094.17724609375	-1.0433836034993653	
495113.70849609375	-1.1648123858148718	
495133.23974609375	-1.1576002229372926	
495152.77099609375	-0.8488956112339828	
495172.30224609375	-1.1714235351193192	
495191.83349609375	-1.0686502141138174	
495211.36474609375	-0.9973459637974855	
495230.89599609375	-1.0877143646535514	
495250.42724609375	-1.1496428032290305	
495269.95849609375	-0.8560356524827861	
495289.48974609375	-1.0985566495128452	
495309.02099609375	-1.0776654177107912	
495328.55224609375	-0.9173630774851336	
495348.08349609375	-1.033430818728306	
495367.61474609375	-0.9636651631591913	
